CCN,Address,State,ZIP,Hospital Type,Ownership,ED Services,Abdominopelvic Accidental Puncture Or Laceration Rate,Death Rate Among Surgical Inpatients With Serious Treatable Complications,Death Rate For Cabg Surgery Patients,Death Rate For Copd Patients,Death Rate For Heart Failure Patients,Death Rate For Pneumonia Patients,Hybrid Hospital Wide All Cause Risk Standardized Mortality Rate,Iatrogenic Pneumothorax Rate,In Hospital Fall Associated Fracture Rate,Mort 30 Ami,Mort 30 Stk,Perioperative Pulmonary Embolism Or Deep Vein Thrombosis Rate,Postoperative Acute Kidney Injury Requiring Dialysis Rate,Postoperative Hemorrhage Or Hematoma Rate,Postoperative Respiratory Failure Rate,Postoperative Sepsis Rate,Postoperative Wound Dehiscence Rate,Pressure Ulcer Rate,Medicare Hospital Spending Per Patient Medicare Spending Per Beneficiary
151304,1300 N MAIN ST,IN,46173,Critical Access Hospitals,Government - Local,Yes,,,,,,19.2,4.8,,,,,,,,,,,,
150084,2001 W 86TH ST,IN,46260,Acute Care Hospitals,Voluntary non-profit - Church,Yes,0.58,224.06,2.1,11.5,12.5,17.5,3.8,0.15,0.29,11.3,15.8,3.32,1.33,1.65,15.23,4.81,1.34,0.32,1.04
150086,600 WILSON CREEK RD,IN,47025,Acute Care Hospitals,Government - Local,Yes,0.84,,,7.4,10.4,10.5,3.5,0.23,0.27,11.3,13.8,3.78,1.67,2.3,9.38,5.4,1.8,0.34,0.98
150088,2015 JACKSON ST,IN,46016,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.86,,,9.0,11.8,17.0,4.8,0.24,0.27,,13.2,4.31,1.67,2.34,11.79,6.27,1.83,0.35,1.04
150089,2401 UNIVERSITY AVE,IN,47303,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1.03,159.5,4.2,6.4,12.3,14.0,3.9,0.22,0.32,11.9,12.8,4.34,2.16,1.89,7.74,7.26,2.39,0.12,1.0
150090,24 JOLIET ST,IN,46311,Acute Care Hospitals,Voluntary non-profit - Church,Yes,0.97,157.47,,10.7,10.1,14.8,4.0,0.22,0.26,12.1,14.8,4.59,2.0,1.99,13.27,5.65,1.77,0.24,1.04
150091,2001 STULTS RD,IN,46750,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,,,8.8,9.4,16.7,4.1,0.25,0.29,,,3.85,,2.43,,,,0.58,0.94
150097,2451 INTELLIPLEX DR,IN,46176,Acute Care Hospitals,Government - Local,Yes,1.11,,,8.0,10.6,14.9,3.4,0.3,0.32,,12.4,3.61,1.68,2.76,11.39,6.07,1.83,0.41,1.0
150100,3700 WASHINGTON AVE,IN,47750,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.8,195.83,4.0,9.6,14.3,18.6,4.3,0.18,0.25,13.4,11.6,3.58,2.94,3.16,10.43,5.7,1.93,0.14,1.03
150101,1260 E SR 205,IN,46725,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.88,,,7.6,12.6,17.0,4.0,0.25,0.29,,14.2,,,,,,,0.58,0.86
150102,102 E CULVER RD,IN,46534,Acute Care Hospitals,Proprietary,Yes,,,,7.6,12.0,12.6,4.8,0.25,0.29,,,,,,,,,0.61,1.07
150104,2605 N LEBANON ST,IN,46052,Acute Care Hospitals,Government - Local,Yes,0.86,,,8.9,14.0,16.9,4.6,0.24,0.28,12.0,13.0,3.6,1.65,2.35,8.82,5.38,1.84,0.46,0.97
150048,1100 REID PKWY,IN,47374,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1.44,149.25,2.2,9.1,14.7,16.8,5.1,0.18,0.25,12.8,14.6,3.68,1.18,2.77,7.7,3.93,2.05,0.9,1.0
150082,600 MARY ST,IN,47747,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.6,172.39,3.9,9.5,11.3,17.3,3.7,0.17,0.3,13.9,16.4,2.91,2.21,1.98,14.42,5.71,2.04,0.75,1.06
150047,702 VAN BUREN ST.,IN,46802,Acute Care Hospitals,Proprietary,Yes,0.88,,,,12.4,15.0,3.8,0.25,0.29,,,3.84,,,,,,0.56,0.92
150012,5215 HOLY CROSS PKWY,IN,46545,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.69,195.91,3.8,6.8,14.4,20.1,4.7,0.35,0.27,14.1,12.7,3.6,2.11,2.05,15.0,6.43,2.06,0.87,0.99
150045,1316 E SEVENTH ST,IN,46706,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.88,,,,11.7,17.0,4.0,0.25,0.29,,,3.8,,2.43,,,,0.56,0.9
150001,1125 W JEFFERSON ST,IN,46131,Acute Care Hospitals,Government - Local,Yes,0.88,,,8.1,11.0,17.5,4.5,0.24,0.28,,11.5,3.69,1.68,2.38,9.98,5.51,,0.49,0.95
150002,600 GRANT ST,IN,46402,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1.61,198.84,,6.6,12.3,16.1,4.1,0.31,0.32,13.5,13.4,5.35,1.57,1.87,8.53,6.46,1.79,0.33,1.06
150005,1000 E MAIN ST,IN,46122,Acute Care Hospitals,Government - Local,Yes,0.8,,,10.7,11.5,14.6,4.2,0.29,0.3,12.1,12.8,3.42,1.65,2.18,12.84,5.03,1.79,1.24,0.93
150006,1007 LINCOLNWAY,IN,46350,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.79,185.6,,8.9,15.4,19.0,4.5,0.22,0.31,13.9,13.8,4.05,1.64,2.07,9.54,4.96,1.74,0.62,1.04
150007,3500 S LAFOUNTAIN ST,IN,46902,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1.05,181.84,,12.3,15.8,17.4,4.2,0.23,0.31,13.4,13.3,3.68,2.02,3.02,17.94,5.04,1.8,0.35,1.01
150008,4321 FIR STREET,IN,46312,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.82,150.4,,8.5,12.9,13.6,4.2,0.23,0.27,,12.1,3.71,1.64,2.54,9.23,6.19,1.83,0.64,1.07
150009,1220 MISSOURI AVE,IN,47130,Acute Care Hospitals,Voluntary non-profit - Other,Yes,0.77,163.86,,7.9,13.5,14.5,4.2,0.22,0.26,12.3,12.5,3.38,1.57,2.36,9.0,4.97,1.76,0.51,1.13
150010,1907 W SYCAMORE ST,IN,46904,Acute Care Hospitals,Voluntary non-profit - Church,Yes,0.84,,,8.6,13.2,17.7,4.1,0.23,0.27,,12.6,3.75,1.67,2.69,11.01,6.85,1.82,0.35,1.05
150011,441 N WABASH AVE,IN,46952,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.83,,,8.9,10.7,18.0,4.7,0.23,0.27,12.7,16.3,3.93,,2.31,,,1.83,0.77,1.04
150109,1701 S CREASY LN,IN,47905,Acute Care Hospitals,Voluntary non-profit - Church,Yes,0.7,212.32,2.1,10.1,10.1,20.7,3.5,0.34,0.31,14.1,15.4,6.26,1.5,2.7,9.14,5.8,2.05,0.74,0.99
150015,3500 FRANCISCAN WAY,IN,46360,Acute Care Hospitals,Voluntary non-profit - Church,Yes,1.35,187.06,,8.4,12.6,18.2,4.4,0.21,0.29,11.9,12.2,3.99,1.6,1.96,8.51,5.67,1.77,0.51,0.97
150017,7950 W JEFFERSON BLVD,IN,46804,Acute Care Hospitals,Proprietary,Yes,0.61,187.13,2.3,10.3,11.2,19.1,4.3,0.26,0.33,13.6,15.1,5.5,1.3,1.68,17.03,5.32,2.67,0.2,1.05
150018,600 E BLVD,IN,46514,Acute Care Hospitals,Government - Local,Yes,0.96,165.53,1.6,6.7,9.8,14.8,3.9,0.26,0.28,12.8,14.3,3.96,1.56,2.0,12.37,5.61,1.74,0.4,0.99
150021,11109 PARKVIEW PLAZA DRIVE,IN,46845,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.79,175.23,2.3,8.8,15.9,15.9,4.3,0.22,0.31,12.8,14.4,3.5,1.17,1.53,6.25,6.36,3.06,0.32,0.99
150022,1710 LAFAYETTE RD,IN,47933,Acute Care Hospitals,Voluntary non-profit - Church,Yes,0.88,,,7.9,9.2,15.0,4.4,0.24,0.28,,13.2,3.82,,2.43,,,,0.53,1.02
150023,1606 N SEVENTH ST,IN,47804,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.82,192.43,2.3,11.1,12.5,18.1,4.7,0.18,0.29,11.0,13.0,3.26,2.01,2.44,14.2,5.43,1.62,0.3,1.02
150024,720 ESKENAZI AVENUE,IN,46202,Acute Care Hospitals,Government - Local,Yes,0.8,196.54,,7.6,9.2,15.2,3.8,0.22,0.26,12.2,12.4,4.21,1.68,2.42,12.41,6.32,1.79,0.22,1.0
150026,200 HIGH PARK AVE,IN,46526,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.98,,,11.5,15.5,18.4,5.6,0.33,0.31,12.3,14.1,3.4,1.62,2.06,7.44,4.86,1.76,0.31,0.99
150030,1000 N 16TH ST,IN,47362,Acute Care Hospitals,Government - Local,Yes,0.86,,,8.7,12.6,21.1,4.9,0.24,0.28,,17.2,3.39,1.65,2.33,7.48,5.09,1.84,0.45,1.09
150034,1500 S LAKE PARK AVE,IN,46342,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1.12,167.11,3.2,7.2,14.0,20.4,3.9,0.3,0.24,14.0,12.7,3.45,2.13,2.76,14.04,5.63,2.14,0.79,1.06
150035,85 EAST US HWY 6,IN,46383,Acute Care Hospitals,Proprietary,Yes,0.67,168.97,3.0,9.5,12.4,19.8,4.8,0.18,0.3,12.7,12.9,3.96,2.07,2.55,7.96,5.27,2.06,0.35,1.05
150037,801 N STATE ST,IN,46140,Acute Care Hospitals,Government - Local,Yes,1.08,,,10.1,9.4,19.1,5.4,0.24,0.28,13.2,12.3,3.97,1.61,2.34,10.95,5.15,1.82,0.43,1.02
15003F,1481 W. TENTH STREET,IN,46202,Acute Care - Veterans Administration,Veterans Health Administration,Yes,0.83,182.75,,8.4,8.2,11.9,,0.35,0.25,10.6,,2.76,1.53,1.61,12.95,4.96,1.55,0.39,
150042,520 S 7TH ST,IN,47591,Acute Care Hospitals,Voluntary non-profit - Other,Yes,0.8,,,9.0,13.3,18.3,5.5,0.32,0.3,12.3,12.8,3.58,1.61,2.14,11.58,6.07,1.77,0.27,1.11
151303,301 HENRY ST,IN,47265,Critical Access Hospitals,Voluntary non-profit - Church,Yes,,,,,,19.1,,,,,,,,,,,,,
150046,3901 S SEVENTH ST,IN,47802,Acute Care Hospitals,Proprietary,Yes,0.81,194.32,2.5,9.2,12.5,15.5,4.4,0.22,0.27,11.7,13.5,3.48,1.57,2.79,14.28,4.72,1.78,0.61,1.03
150112,2400 E 17TH ST,IN,47201,Acute Care Hospitals,Government - Local,Yes,1.41,144.84,5.3,6.1,12.2,16.1,4.3,0.2,0.46,11.6,12.5,3.04,1.48,2.19,11.97,4.53,1.72,0.47,0.97
150044,1850 STATE ST,IN,47150,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1.12,202.29,2.3,8.3,12.4,17.6,4.9,0.21,0.25,11.1,13.3,5.35,2.1,1.71,9.12,6.99,2.92,0.42,1.12
150115,800 W 9TH ST,IN,47546,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.8,,,10.9,15.8,19.8,4.7,0.21,0.26,12.2,14.5,3.29,1.6,2.18,8.95,4.65,1.75,1.83,0.97
151330,1100 MERCER AVE,IN,46733,Critical Access Hospitals,Government - Local,Yes,,,,,13.3,20.2,4.3,,,,,,,,,,,,
151331,1141 HOSPITAL DR NW,IN,47112,Critical Access Hospitals,Government - Local,Yes,,,,8.8,11.8,15.6,4.5,,,,,,,,,,,,
151332,720 N LINCOLN ST,IN,47240,Critical Access Hospitals,Government - Local,Yes,,,,9.1,14.1,19.1,4.5,,,,,,,,,,,,
151333,1542 S BLOOMINGTON ST,IN,46135,Critical Access Hospitals,Government - Local,Yes,,,,,10.8,16.4,4.1,,,,,,,,,,,,
151334,1451 N GARDNER ST,IN,47170,Critical Access Hospitals,Proprietary,Yes,,,,8.0,,17.3,4.4,,,,,,,,,,,,
154005,2900 N RIVER RD,IN,47906,Psychiatric,Voluntary non-profit - Private,No,,,,,,,,,,,,,,,,,,,
154008,5435 E 16TH ST,IN,46218,Psychiatric,Government - State,Yes,,,,,,,,,,,,,,,,,,,
154009,620 8TH AVE,IN,47804,Psychiatric,Voluntary non-profit - Private,No,,,,,,,,,,,,,,,,,,,
154011,285 BIELBY RD,IN,47025,Psychiatric,Proprietary,Yes,,,,,,,,,,,,,,,,,,,
154014,9 PEQUIGNOT DR,IN,46562,Psychiatric,Voluntary non-profit - Private,No,,,,,,,,,,,,,,,,,,,
154018,498 NW 18TH ST,IN,47374,Psychiatric,Proprietary,Yes,,,,,,,,,,,,,,,,,,,
154019,711 GREEN RD,IN,47250,Psychiatric,Government - State,Yes,,,,,,,,,,,,,,,,,,,
154020,8555 TAFT ST,IN,46410,Psychiatric,Voluntary non-profit - Private,Yes,,,,,,,,,,,,,,,,,,,
154021,505 WABASH AVE,IN,46952,Psychiatric,Voluntary non-profit - Private,No,,,,,,,,,,,,,,,,,,,
154024,898 E MAIN ST,IN,46143,Psychiatric,Proprietary,No,,,,,,,,,,,,,,,,,,,
154031,330 LAKEVIEW DR,IN,46527,Psychiatric,Voluntary non-profit - Private,No,,,,,,,,,,,,,,,,,,,
154035,1015 MICHIGAN AVE,IN,46947,Psychiatric,Voluntary non-profit - Private,No,,,,,,,,,,,,,,,,,,,
154041,3600 N PROW RD,IN,47404,Psychiatric,Proprietary,No,,,,,,,,,,,,,,,,,,,
154047,1800 N OAK RD,IN,46563,Psychiatric,Voluntary non-profit - Other,Yes,,,,,,,,,,,,,,,,,,,
151329,321 MITCHELL AVE,IN,47006,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,,11.0,13.0,17.5,4.8,,,,,,,,,,,,
151328,2900 W 16TH ST,IN,47421,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,,8.5,11.6,17.4,4.7,,,12.3,12.6,,,,,,,,
151327,2200 N SECTION ST,IN,47882,Critical Access Hospitals,Government - Local,Yes,,,,,,15.0,4.2,,,,,,,,,,,,
151326,801 S MAIN ST,IN,47842,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,,7.7,10.7,19.9,4.4,,,,,,,,,,,,
151305,616 E 13TH ST,IN,46996,Critical Access Hospitals,Voluntary non-profit - Other,Yes,,,,,,15.1,4.5,,,,,,,,,,,,
151306,642 W HOSPITAL RD,IN,47454,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,,,,15.2,3.6,,,,,,,,,,,,
151307,412 N MONROE ST,IN,47993,Critical Access Hospitals,Voluntary non-profit - Church,Yes,,,,10.5,14.6,19.9,4.6,,,,,,,,,,,,
151308,1331 S A ST,IN,46036,Critical Access Hospitals,Voluntary non-profit - Church,Yes,,,,,,,,,,,,,,,,,,,
151309,1206 E NATIONAL AVE,IN,47834,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,,,,,4.4,,,,,,,,,,,,
151310,10 JOHN KISSINGER DRIVE,IN,46992,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,,,13.2,18.2,4.2,,,,,,,,,,,,
151311,1000 S MAIN ST,IN,46072,Critical Access Hospitals,Voluntary non-profit - Other,Yes,,,,,13.3,15.6,4.5,,,,,,,,,,,,
151312,720 SOUTH SIXTH ST,IN,47960,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,,7.5,10.9,13.0,4.1,,,,,,,,,,,,
151313,1400 E 9TH ST,IN,46975,Critical Access Hospitals,Government - Local,Yes,,,,,,16.0,4.2,,,,,,,,,,,,
154050,1850 WESLEY RD,IN,46706,Psychiatric,Voluntary non-profit - Private,No,,,,,,,,,,,,,,,,,,,
151314,911 N SHELBY ST,IN,47167,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,,,,,,,,,,,,,,,,,
151316,1300 S JACKSON ST,IN,46041,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,,,,14.7,4.2,,,,,,,,,,,,
150113,1515 N MADISON AVE,IN,46011,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.8,,,8.4,13.0,17.3,4.6,0.29,0.26,13.7,16.3,3.05,1.63,2.94,10.11,6.33,1.77,0.29,1.04
151318,275 W 12TH ST,IN,46970,Critical Access Hospitals,Proprietary,Yes,,,,9.6,14.8,17.8,4.7,,,,,,,,,,,,
151319,1808 SHERMAN DR,IN,47670,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,,,,,,,,,,,,,,,,,
151320,500 W VOTAW ST,IN,47371,Critical Access Hospitals,Government - Local,Yes,,,,,10.7,13.6,4.2,,,,,,,,,,,,
151322,8885 SR 237,IN,47586,Critical Access Hospitals,Voluntary non-profit - Other,Yes,,,,8.1,11.8,18.6,5.2,,,,,,,,,,,,
151323,207 N TOWNLINE RD,IN,46761,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,,,11.4,20.0,4.0,,,,,,,,,,,,
151324,1104 E GRACE ST,IN,47978,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,,,,17.1,3.9,,,,,,,,,,,,
151325,1116 MILLIS AVE,IN,47601,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,,,,,4.1,,,,,,,,,,,,
151315,416 E MAUMEE ST,IN,46703,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,,,11.3,17.2,4.1,,,,,,,,,,,,
154051,2700 VISSING PARK RD,IN,47130,Psychiatric,Proprietary,Yes,,,,,,,,,,,,,,,,,,,
151317,1185 N 1000 W,IN,47441,Critical Access Hospitals,Government - Local,Yes,,,,8.1,15.2,19.4,4.6,,,,13.7,,,,,,,,
154054,1980 E WOODSMALL DR,IN,47802,Psychiatric,Voluntary non-profit - Other,No,,,,,,,,,,,,,,,,,,,
150172,4023 REAS LN,IN,47150,Acute Care Hospitals,Physician,No,0.87,,,,,,4.1,0.25,0.29,,,3.71,1.66,2.28,8.75,5.21,1.84,0.64,1.01
150169,7150 CLEARVISTA DR,IN,46256,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1.86,152.0,,9.8,13.5,18.1,4.1,0.25,0.3,,15.4,4.11,3.06,2.16,20.21,6.98,2.65,0.33,1.09
150168,7952 W JEFFERSON BLVD,IN,46804,Acute Care Hospitals,Proprietary,No,0.87,,,,,,4.0,0.25,0.32,,,3.76,1.64,2.54,7.67,4.99,1.86,0.53,0.94
150167,11130 PARKVIEW CIRCLE DR,IN,46845,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.88,,,,,,4.1,0.25,0.29,,,3.5,1.66,2.33,8.16,5.18,1.87,0.63,0.96
150166,9301 CONNECTICUT DR,IN,46307,Acute Care Hospitals,Physician,No,0.87,,,,,,4.0,0.24,0.28,,,3.28,1.66,2.23,7.5,5.0,1.87,0.62,1.05
150165,701 SUPERIOR AVE,IN,46321,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.8,,,8.7,9.9,17.7,4.1,0.34,0.27,12.7,12.0,4.0,1.62,2.18,7.67,5.17,1.8,0.65,1.03
150162,8111 S EMERSON AVE,IN,46237,Acute Care Hospitals,Voluntary non-profit - Church,Yes,0.62,194.46,3.0,8.1,10.3,16.7,3.6,0.2,0.36,11.5,12.1,4.98,1.1,1.98,5.82,4.92,1.53,0.22,0.99
150161,11700 N MERIDIAN ST,IN,46032,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.65,,,8.9,9.0,15.9,3.9,0.22,0.26,11.5,11.3,3.07,1.87,2.82,7.3,4.46,1.75,0.27,1.04
150160,8400 NORTHWEST BLVD,IN,46278,Acute Care Hospitals,Physician,No,0.87,,,,,,3.8,0.24,0.26,,,2.86,1.62,2.6,6.47,4.68,1.87,0.61,0.89
150158,1111 N RONALD REAGAN PKWY,IN,46123,Acute Care Hospitals,Proprietary,Yes,0.76,160.73,,7.6,9.0,14.7,3.5,0.21,0.29,12.6,11.6,3.45,1.61,2.04,7.04,5.75,2.17,0.4,0.96
150157,13500 N MERIDIAN ST,IN,46032,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.72,,,8.6,11.2,17.5,3.8,0.23,0.27,,12.4,3.31,1.99,2.46,8.27,4.55,1.74,0.35,1.04
150153,10580 N MERIDIAN ST,IN,46290,Acute Care Hospitals,Proprietary,Yes,0.88,203.71,2.1,,8.4,,3.6,0.26,0.26,10.1,,2.95,1.86,2.33,7.81,5.18,,0.21,0.97
150149,4199 GATEWAY BLVD,IN,47630,Acute Care Hospitals,Proprietary,Yes,0.85,,,,,,,0.25,0.29,,,3.75,1.67,2.37,9.28,6.1,1.85,0.63,0.99
150146,401 SAWYER RD,IN,46755,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.88,,,9.2,11.0,16.7,4.2,0.25,0.33,,13.3,3.87,,2.42,,,,0.57,0.86
150133,2101 E DUBOIS DR,IN,46580,Acute Care Hospitals,Proprietary,Yes,1.09,,,8.3,11.5,15.7,4.2,0.24,0.28,12.3,16.3,3.56,1.67,2.35,9.12,5.38,1.84,0.99,0.93
150128,1402 E COUNTY LINE RD S,IN,46227,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.92,218.68,,8.5,11.3,18.8,4.1,0.3,0.32,12.4,16.5,3.38,1.53,2.55,11.09,4.3,2.51,0.52,1.06
150126,1201 S MAIN ST,IN,46307,Acute Care Hospitals,Voluntary non-profit - Church,Yes,0.67,208.87,3.3,8.8,12.5,18.4,4.4,0.3,0.27,11.6,15.9,4.09,1.41,2.3,8.78,8.24,2.03,0.16,1.02
150125,901 MACARTHUR BLVD,IN,46321,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.83,165.07,2.6,9.7,11.2,17.0,3.7,0.36,0.2,12.6,9.9,5.62,1.82,3.46,13.3,4.75,1.58,0.6,1.11
154052,701 WALL ST,IN,46383,Psychiatric,Voluntary non-profit - Private,No,,,,,,,,,,,,,,,,,,,
150173,5165 MCCARTY LN,IN,47905,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.71,163.81,2.1,8.2,12.8,15.9,3.8,0.26,0.31,12.1,11.2,3.34,2.11,2.1,7.49,6.55,1.71,0.18,1.04
150177,4455 EDISON LAKES PKWY,IN,46545,Acute Care Hospitals,Physician,No,0.88,,,,,,4.1,0.25,0.29,,,3.79,1.68,2.8,9.6,5.44,,0.64,0.94
150150,2520 E DUPONT RD,IN,46825,Acute Care Hospitals,Proprietary,Yes,0.85,,,8.7,10.9,13.4,4.1,0.24,0.28,,,3.61,1.65,2.3,8.95,5.36,1.84,1.1,1.11
150181,13861 OLIO ROAD,IN,46037,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.88,,,,11.7,16.7,4.5,0.25,0.29,,,3.75,1.68,2.4,9.55,5.46,1.86,0.57,0.93
154055,4488 ROSLIN RD,IN,47630,Psychiatric,Voluntary non-profit - Private,No,,,,,,,,,,,,,,,,,,,
150179,8102 CLEARVISTA PARKWAY,IN,46256,Acute Care Hospitals,Voluntary non-profit - Private,No,,,,,,,,0.25,0.29,,,,,,,,,0.63,1.09
154056,3400 LINCOLN AVENUE,IN,47714,Psychiatric,Government - State,No,,,,,,,,,,,,,,,,,,,
154057,5602 CAITO DRIVE,IN,46226,Psychiatric,Proprietary,No,,,,,,,,,,,,,,,,,,,
154058,417 S WHITLOCK ST,IN,46506,Psychiatric,Proprietary,No,,,,,,,,,,,,,,,,,,,
154060,1909 CAREW STREET,IN,46805,Psychiatric,Voluntary non-profit - Private,No,,,,,,,,,,,,,,,,,,,
154061,1625 EAST JEFFERSON BLVD,IN,46545,Psychiatric,Proprietary,No,,,,,,,,,,,,,,,,,,,
154063,"6720 PARKDALE PLACE, SUITE 100",IN,46254,Psychiatric,Proprietary,No,,,,,,,,,,,,,,,,,,,
154064,900 NORTH HIGH SCHOOL ROAD,IN,46214,Psychiatric,Proprietary,No,,,,,,,,,,,,,,,,,,,
154065,9330 BROADWAY,IN,46307,Psychiatric,Proprietary,No,,,,,,,,,,,,,,,,,,,
154059,833 PARK EAST BLVD,IN,47905,Psychiatric,Proprietary,No,,,,,,,,,,,,,,,,,,,
154067,1051 SOUTHFIELD DRIVE,IN,46168,Psychiatric,Proprietary,No,,,,,,,,,,,,,,,,,,,
154070,3955 WEST WASHINGTON CENTER ROAD,IN,46818,Psychiatric,Proprietary,Yes,,,,,,,,,,,,,,,,,,,
154071,4102 SHORE DRIVE,IN,46254,Psychiatric,Proprietary,No,,,,,,,,,,,,,,,,,,,
151301,473 E GREENVILLE AVE,IN,47394,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,,,,,4.4,,,,,,,,,,,,
150183,4011 S MONROE MEDICAL PARK BLVD,IN,47403,Acute Care Hospitals,Proprietary,Yes,0.87,,,8.7,9.7,15.5,4.2,0.25,0.28,,,3.73,1.66,2.29,9.35,5.41,,0.52,0.94
151300,1020 HIGH RD,IN,46506,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,,,,,4.6,,,,,,,,,,,,
150195,10855 VIRGINIA STREET,IN,46307,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,,,,,,,,,,,,,,,,,,
154066,1612 BLACKISTON VIEW DRIVE,IN,47129,Psychiatric,Proprietary,No,,,,,,,,,,,,,,,,,,,
150193,10777 N ILLINOIS ST,IN,46032,Acute Care Hospitals,Voluntary non-profit - Church,No,,,,,,,4.0,0.25,0.29,,,3.69,1.68,2.4,9.66,5.5,,0.64,0.92
171347,826  18TH STREET,KS,67740,Critical Access Hospitals,Government - Local,Yes,,,,,,14.4,4.5,,,,,,,,,,,,
171348,102 E HOLME STREET,KS,67654,Critical Access Hospitals,Government - Local,Yes,,,,,,18.7,4.8,,,,,,,,,,,,
171349,155 WEST COLLEGE DRIVE,KS,66901,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,,,,19.1,4.6,,,,,,,,,,,,
171350,200 S MAIN STREET,KS,67665,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,,,11.8,15.8,4.7,,,,,,,,,,,,
171351,304 E 3RD STREET,KS,66968,Critical Access Hospitals,Government - Local,Yes,,,,,,,4.3,,,,,,,,,,,,
171352,810 W  COLUMBIA STREET,KS,67747,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,,,,,,,,,,,,,,,,,
171355,320 N THIRTEENTH ST,KS,67672,Critical Access Hospitals,Government - Local,Yes,,,,,,19.0,4.1,,,,,,,,,,,,
171354,120 WEST 8TH STREET,KS,66521,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,,,,,20.2,4.5,,,,,,,,,,,,
171356,535 SOUTH FREEBORN,KS,66861,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,,,,,,4.2,,,,,,,,,,,,
171357,101 INDUSTRIAL ROAD,KS,67063,Critical Access Hospitals,Proprietary,No,,,,,,17.7,4.3,,,,,,,,,,,,
171359,506 3RD STREET,KS,67879,Critical Access Hospitals,Government - Local,Yes,,,,,,16.4,4.6,,,,,,,,,,,,
171346,485 N. KS HWY 2,KS,67003,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,,,,10.6,,4.5,,,,,,,,,,,,
171358,605 W LINCOLN STREET,KS,67456,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,,,,16.2,4.0,,,,,,,,,,,,
171353,1150 STATE STREET,KS,67661,Critical Access Hospitals,Government - Local,Yes,,,,,,16.8,4.3,,,,,,,,,,,,
171345,923 CARROLL AVENUE,KS,67550,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,,,,16.7,4.5,,,,,,,,,,,,
171334,710 N WALNUT STREET,KS,67104,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,,,,,18.5,5.7,,,,,,,,,,,,
171343,404 N CHESTNUT,KS,67855,Critical Access Hospitals,Government - Local,Yes,,,,,,,4.3,,,,,,,,,,,,
